impedance velocity type outlier
4895.30906481666 2.573526802587147 shale normal
4933.2057416196 2.564826884674877 shale normal
5008.3872683646405 2.608365103282832 shale normal
5057.1491778 2.697175724509326 shale normal
5068.988629381841 2.7322838140733987 shale normal
5106.613531538351 2.7369587605756243 shale normal
5170.499039579399 2.7514669880589473 shale normal
5278.87718871048 2.7550631657580467 shale normal
5393.0646556971005 2.782721906287402 shale normal
5460.0581995656 2.823938483681275 shale normal
5445.37230667948 2.8399476804729846 shale normal
5415.832370491839 2.8352434187962587 shale normal
5402.14364108232 2.811150981143042 shale normal
5392.258184864039 2.7822808817542657 shale normal
5373.638879389199 2.763082615591186 shale normal
5356.807913332 2.7516583328766275 shale normal
5363.6756857593 2.7485802305828666 shale normal
5410.159678779611 2.748093503908793 shale normal
5485.845011800141 2.7483056188924433 shale normal
5536.17100719135 2.7764709542947403 shale normal
5477.12736112696 2.8504769029312853 shale normal
5449.33592280618 2.846831537394553 shale normal
5444.44532069865 2.8187740037713955 shale normal
5440.96385542876 2.763866489585445 shale normal
5382.19401119525 2.7286942432230563 shale normal
5228.179408801961 2.7225136620582324 shale normal
5077.18857909009 2.7259121840192084 shale normal
5068.41798107086 2.756382622776476 shale normal
5161.77933406266 2.7560930261355736 shale normal
5247.874291240681 2.719380356473575 shale normal
5295.43091655666 2.729563763491463 shale normal
5291.474696179571 2.7504307999315127 shale normal
5271.701728049121 2.74207441713063 shale normal
5282.2957816885 2.7208221707644213 shale normal
5314.057722877281 2.715688822303545 shale normal
5353.03150648651 2.786290225526281 shale normal
5339.42265988092 2.7331046890827198 shale normal
5403.96865580588 2.6977134820108684 shale normal
5521.05698035612 2.6917301074143647 shale normal
5589.6938466230395 2.720274086248523 shale normal
5560.70135585625 2.7130214618667288 shale normal
5499.8281518410995 2.7197312919796324 shale normal
5463.93740958905 2.7133657899240067 shale normal
5465.8402867892 2.7023243877944774 shale normal
5485.101835449749 2.683557337531805 shale normal
5514.81589002028 2.6659108206249633 shale normal
5557.18711619097 2.66365041004292 shale normal
5578.0137653556 2.6948228230185665 shale normal
5582.48914383606 2.7284599483994443 shale normal
5595.73046133427 2.7280893654197986 shale normal
5617.07080504416 2.6698222859946146 shale normal
5609.965654986549 2.6112690038294977 shale normal
5575.34242195812 2.5785213124666533 shale normal
5533.125791214 2.5794087438351823 shale normal
5539.123711746 2.5971178294432216 shale normal
5564.888057917351 2.6145069274666946 shale normal
5572.96146271928 2.605253045997216 shale normal
5578.2880199726405 2.585422871229894 shale normal
5593.018437790341 2.5692596888373145 shale normal
5598.2528978459995 2.580103514207364 shale normal
5584.88643192413 2.609838561072881 shale normal
5580.4003758144 2.6289497562938404 shale normal
5583.80030238288 2.6149757133228513 shale normal
5588.138947429809 2.5817981432884713 shale normal
5581.214465511961 2.5707634035950258 shale normal
5568.331926176639 2.5878020343296266 shale normal
5562.67906408087 2.5938613495057417 shale normal
5562.2407106397595 2.600980029287381 shale normal
5584.043511843391 2.604249806900968 shale normal
5614.76263991021 2.6124807024327104 shale normal
5628.97623619938 2.6277836265270316 shale normal
5624.30321149032 2.6217812710929356 shale normal
5617.146805056481 2.6014878131055315 shale normal
5618.929400139999 2.582045332281195 shale normal
5608.586004424999 2.5766195013939748 shale normal
5595.756938703359 2.5797539858937393 shale normal
5523.501813783841 2.509600967351396 shale normal
5564.77447070461 2.479740314276189 shale normal
5603.14952991342 2.4385494054211976 shale normal
5189.8580153824 2.3948389339770224 shale normal
4938.6180422218595 2.410636596282508 shale normal
4854.04308919695 2.445246936794697 shale normal
4961.2387410125 2.51597341699512 shale normal
5058.4847883596 2.597527839824345 shale normal
4845.83518317478 2.806662482204021 shale normal
4731.844877617219 2.7902450543466735 shale normal
4825.7160222335 2.8715849659664308 shale normal
4944.19158069012 2.8929588071386054 shale normal
4957.238381312699 2.8739037901335913 shale normal
4932.3447973218 2.8891830960336766 shale normal
4897.935783300561 2.943829341910687 shale normal
4843.281709735699 3.0211436261200784 shale normal
4832.7895819100995 3.125702535986774 shale normal
4932.3400097772 3.2388556424073096 shale normal
5061.0491054448 3.286547392463922 shale normal
5125.15179503448 3.2795905697730183 shale normal
5093.9203228134 3.29198410070206 shale normal
5022.68374673561 3.2577433048597424 shale normal
5014.48507998 3.0029726560967474 shale normal
4862.692444056301 2.9893566466329466 shale normal
5215.15659702495 3.141073290128353 shale normal
5278.01168002095 3.186042826745232 shale normal
5285.389803691531 3.142703191534336 shale normal
5253.74717492768 3.0955326201572113 shale normal
5253.54573251445 3.057997055605161 shale normal
5320.179099939999 3.0196099263817238 shale normal
5425.91576075592 2.9242015363681575 shale normal
5467.940985431199 2.8769369954519535 shale normal
5404.6327552057 2.8174058122826184 shale normal
5274.019562169301 2.8652383170251565 shale normal
5294.12310835435 2.8125367499188303 shale normal
5518.833761493001 2.8663994552602787 shale normal
5135.046685202719 2.851083596169962 shale normal
5038.3544133922005 2.836332936187688 shale normal
4955.74240397954 2.803419007581577 shale normal
4879.82095756392 2.7658300695435485 shale normal
4811.55885303156 2.774809342609714 shale normal
4783.84035658005 2.8361827961195676 shale normal
4832.6026609091905 2.90176745488338 shale normal
4828.01850684009 2.9424197242375523 shale normal
4736.3252664517 2.933987186105919 shale normal
4665.76458760575 2.907647765846516 shale normal
4629.00707767498 2.907337869720918 shale normal
4634.91743119704 2.9656651376188234 shale normal
4711.595422021151 2.9836159194867156 shale normal
4792.601680299 2.961983445401154 shale normal
4828.317813661999 2.91652805197805 shale normal
4863.955379959801 2.9108838794610907 shale normal
4909.55535403936 2.8668290733578043 shale normal
5226.0649015197005 2.8440672877148137 shale normal
5174.64656867328 2.792466373310131 shale normal
5118.749560828799 2.779884918370164 shale normal
4799.258284866501 2.7410257223025583 shale normal
4677.40634006097 2.7305475504328816 shale normal
5090.49905162747 2.1435019400083357 sand normal
5176.04798468459 2.205022260529082 sand normal
5210.0522349438 2.232549144705606 sand normal
5120.7713799488 2.24382607020631 sand normal
5074.37332157806 2.309699787566654 sand normal
4658.34474931548 2.2064402383151 sand normal
4682.37198375301 2.190258413991871 sand normal
6007.978694490881 2.240049278043924 sand normal
6054.36571491336 2.188996888864929 sand normal
5989.05459827967 2.1309420916116912 sand normal
5910.272399083829 2.133099952589839 sand normal
5858.32261547047 2.141961595538538 sand normal
5838.096673785601 2.1491518209421026 sand normal
5867.4908384456 2.16186145083551 sand normal
5870.92970762496 2.1886590363851326 sand normal
5829.945923798889 2.157097167908027 sand normal
5927.16886435282 2.110316192912431 sand normal
5949.2141053755595 2.070463573762847 sand normal
5934.7169374275 2.017617337526432 sand normal
5862.35986547292 1.9781740470806868 sand normal
5642.24628086586 1.9678756566331874 sand normal
5595.729078666401 2.0100241240802013 sand normal
5573.081752241131 2.05049351284264 sand normal
5526.657000819239 2.06966307649015 sand normal
5422.81105408724 2.061911624653196 sand normal
5368.1587079952 2.045126773662711 sand normal
5427.892867582689 2.055513307987798 sand normal
5527.38770574705 2.0488320384087064 sand normal
5604.74668167501 2.018379751589497 sand normal
5649.23710279313 1.9738582272042142 sand normal
5710.4830474841 1.9314283736369422 sand normal
5801.792951003699 1.9139313345373932 sand normal
5883.2801117286 1.9058644583479312 sand normal
5946.018742733409 1.9060342266556194 sand normal
6001.83613246234 1.908166053413015 sand normal
6047.02916088656 1.9127290127279235 sand normal
6074.046297505659 1.9146169410943608 sand normal
6064.55416358973 1.9188735389805318 sand normal
6023.70417370662 1.928180197997819 sand normal
5966.739549123121 1.9449287767805448 sand normal
5901.59132308692 1.964909522979714 sand normal
5852.736063296909 1.9895978316554377 sand normal
5814.91373005904 2.010834529644848 sand normal
5755.29315453198 2.021622872190896 sand normal
5637.7646285253 2.0244751260160108 sand normal
5537.40112799226 2.0135583529059127 sand normal
5481.26982490248 2.010005931350681 sand normal
5462.48725703384 2.011188116270425 sand normal
5459.3537560472005 2.021438723267459 sand normal
5470.615159129859 2.0210081512714257 sand normal
5482.315753302059 2.0138464181405964 sand normal
5498.225381699041 2.001669621500756 sand normal
5516.42069285892 1.9827041582477567 sand normal
5528.8441862494 1.9714905055067538 sand normal
5551.00658842396 1.9662812513707775 sand normal
5568.1948624608 1.961783439494944 sand normal
5566.54119616032 1.9428934894778807 sand normal
5551.17692907141 1.926872780802472 sand normal
5520.72140353125 1.9176104799896247 sand normal
5483.387666869829 1.9143131670173108 sand normal
5461.337803507551 1.9108558624099528 sand normal
5455.95902688114 1.912957746474793 sand normal
5474.1099081073 1.9211053947232897 sand normal
5498.74092423744 1.93794311096093 sand normal
5518.7866323864 1.9538131962266736 sand normal
5546.25652331172 1.969092850625311 sand normal
5587.25080246146 1.986145571260299 sand normal
5652.164764058401 2.004024409494631 sand normal
5716.2470586216 2.0236814635328875 sand normal
5754.879772434 2.0277701231225835 sand normal
5751.50593570026 2.027184207009145 sand normal
5722.8019786083605 2.020326932967755 sand normal
5679.8201771841605 2.005976464372442 sand normal
5631.4210802403395 1.9949921342470145 sand normal
5627.84961622637 1.9939638350454987 sand normal
5654.965310138 1.9974112043095733 sand normal
5647.11468161388 2.0021331314823168 sand normal
5575.51425880656 1.9994005309536562 sand normal
5481.491820852099 1.9956338195930086 sand normal
5408.21153538255 1.991233928160262 sand normal
5389.16375776905 1.9877152155927702 sand normal
5434.6047315243495 1.9917668284499859 sand normal
5502.5665561611695 2.000734766415299 sand normal
5566.0778117433 2.020117770984592 sand normal
5646.417336586 2.0525253407811443 sand normal
5679.038324958749 2.0860755276081546 sand normal
5585.84717665338 2.1067379064942595 sand normal
5646.20614608276 2.3456519355138123 sand normal
5852.52846312849 2.379516973673431 sand normal
6096.1671709526 2.1755532601398953 sand normal
6084.45857764908 2.1665165523899366 sand normal
6119.99444315088 2.153804121317666 sand normal
6182.3246249533995 2.1427115950825137 sand normal
6267.2767494254995 2.134479759502894 sand normal
6363.06796972197 2.120538320911566 sand normal
6454.9144864912005 2.1072137208777115 sand normal
6527.939969513121 2.106948841201467 sand normal
6554.7099777054 2.1139566169442356 sand normal
6598.288303406071 2.117883971847229 sand normal
6698.07183813355 2.1106192499299854 sand normal
6582.0353734564205 2.045186564641628 sand normal
6494.71820140836 2.0181321219608486 sand normal
6502.95535688037 2.0429975075241593 sand normal
6519.1259570593 2.0558716321742914 sand normal
6516.29354559435 2.0686355306868522 sand normal
6532.4512643778 2.0703436937241384 sand normal
6609.706510562401 2.074529309394838 sand normal
6639.78036240082 1.9841561423596523 sand normal
6547.68664037948 1.9991791627485445 sand normal
6526.871187766539 2.007501777786295 sand normal
6537.0448137208505 2.013038174654825 sand normal
6561.7701339837395 2.028740734829425 sand normal
6621.7288182916 2.038596456261839 sand normal
6565.37199124275 2.0659190371912826 sand normal
6401.58626266286 2.0859738959741314 sand normal
6375.281455366921 2.107057815031876 sand normal
6357.805556078059 2.143989107203302 sand normal
6472.85323465664 2.1094687949037865 sand normal
6433.44923095812 2.0988370950902464 sand normal
6401.345366016601 2.07657635636857 sand normal
6396.875791277899 2.045801601065833 sand normal
6398.04951966613 2.0215446483182173 sand normal
6417.589241533399 2.006190388405707 sand normal
6481.1881188054 2.011489436341735 sand normal
6502.344601961389 2.026182037695627 sand normal
6484.855175622591 2.050821688318471 sand normal
6333.9398286283795 2.0311237778911213 sand normal
6194.647255220681 2.0121321584369527 sand normal
6065.550773165939 1.9984678605036494 sand normal
5566.9788558912005 2.4041855839615174 shale normal
5432.296835566681 2.456585566863341 shale normal
5384.2556614819205 2.5173310966852838 shale normal
5432.373712736099 2.556982288544816 shale normal
5505.810671246701 2.5754561101577087 shale normal
6296.01487780034 2.1718156975886007 sand normal
6299.704054168199 2.1333671739510947 sand normal
6320.59534238256 2.098812973534379 sand normal
6349.7545704084805 2.0805666138512855 sand normal
6402.41614387074 2.106347233284763 sand normal
6427.68262845756 2.133723639756733 sand normal
6442.7488620778795 2.17311891614322 sand normal
6500.558224576081 2.2014276544818188 sand normal
6622.25057161434 2.2279030057956173 sand normal
6519.769811781861 2.1682751868351136 sand normal
6504.432 2.1604700000041306 sand normal
6525.77920711724 2.1395509603004896 sand normal
6561.79223939656 2.1111602698891145 sand normal
6596.3350997234 2.0894179038075875 sand normal
6636.493432315249 2.077771885449779 sand normal
6694.65879954921 2.0869914429628325 sand normal
6692.296374998359 2.0493175037808222 sand normal
6663.22522997704 2.0586073147468467 sand normal
6625.819100549879 2.066286003033861 sand normal
6599.275274789549 2.079931151105275 sand normal
6598.47576587584 2.0783906176255775 sand normal
6601.956318900679 2.080429788214926 sand normal
6554.87147699289 2.07421441496952 sand normal
6449.199129912201 2.06385208621847 sand normal
6331.9722881670405 2.054677583451823 sand normal
6189.88373849136 2.0635569228388912 sand normal
6031.135781076339 2.0799325059468594 sand normal
5858.408969576641 2.097034576995958 sand normal
5749.44818497136 2.1167463085350278 sand normal
6066.4662566565 2.2062384511358384 sand normal
6389.3241138328995 2.2700410318867736 sand normal
6393.98205972906 2.191069603723391 sand normal
6178.320639225 2.1528433250840835 sand normal
6094.583972127761 2.1433403019811386 sand normal
6106.9031666113 2.159980353443846 sand normal
6199.829490704149 2.1927774482937004 sand normal
6033.8364536217605 2.4547191743478893 sand normal
5770.34830884216 2.284018823610731 sand normal
5660.8964561094 2.2577844524210855 sand normal
5589.19621833424 2.2440779531219337 sand normal
5549.8097538168 2.2540698785658444 sand normal
5599.979269250579 2.2997322276953365 sand normal
5936.40101615939 2.4715100088179645 sand normal
5853.23511704253 2.407089988316778 sand normal
5250.0 2.15 shale outlier
6200.0 2.4 shale outlier
